id,comment,label
1,"මෑන් අයිඩීක් ඔබේ පරිගණක පිරිවිතර මොනවාද, නමුත් ඔබ නැවත පරිගණකයක් ගොඩනඟා ගැනීමට මම කැමතියි",BaseballBat
2,සහෝදරයා ඔබට වෙව්ට කළේ කුමක්ද?,BaseballBat
3,දුප්පත් විල්ලෙයි,BaseballBat
4,බ්රෝ කුරිරු යක්ෂයා බවට පත් විය,BaseballBat
5,අපොයි.,BaseballBat
6,සහෝදරයා තම මිතුරා අපයෝජනය කරයි,BaseballBat
7,විලීට වැඩි වේදනාවක් අවශ්යයි,BaseballBat
8,,BaseballBat
9,විලී බ්රෝ ඇයි විල්ඩ් කළේ,BaseballBat
10,"එය රිදවීමට යන බවක් දැනේ
ටයිලර් 2024",BaseballBat
11,කණගාටුයි මට මට වසරක් හැරුණු විට මට වයස අවුරුදු ගාණක් ලබා ගැනීමට කැමති අතර මම වයස අවුරුදු,BaseballBat
12,සහෝදර මිතුරා වන එන්පීසී හෝ කුමක්ද,BaseballBat
13,ටයිලියාගේ මිතුරා අහිමි වූ ඔට්ටුව කුමක්ද?,BaseballBat
14,"බ්රේක්වේ පිත්ත
බ්රේක්අවේ කොඳු ඇට පෙළ",BaseballBat
15,ඔහු වැරදි බෝතලය භාවිතා කරයි,BaseballBat
16,මම හිතන්නේ ඔහු වැරදි පිතිහුණා,BaseballBat
17,විලීගේ කොඳු ඇට පෙළ,BaseballBat
18,ෂවර් එක සමාවෙන්න මචන් ඔයා හොඳයි,BaseballBat
19,ඔබේ මිතුරා ඔබේ අඳුරු ය,BaseballBat
20,ආදරය නැති මිනිසාගේ ගීතය,BaseballBat
21,මම හිතන්නේ ඔබ වැරදි එක පාවිච්චි කළා,BaseballBat
22,විලී විලයි මිනිසා,BaseballBat
23,මම හිතන්නේ නැහැ ඔහු මෙයින් පසු තවදුරටත් මිතුරන් ලබාගෙන ඇති බව,BaseballBat
24,මම හිතන්නේ වැරදි පිතිකරණය ඔහුට පහර දුන්නා,BaseballBat
25,අපොයි.,BaseballBat
26,ඇයි මේ ගැන මේ සියලු වේදනාව ලබා ගන්නේ,BaseballBat
27,මෙය හුඩ් වනු ඇත,BaseballBat
28,මෙම අධිෂ් ාශය භුක්ති විඳින්න ඕනෑම ක්රමයක් තබන්න,BaseballBat
29,පන්දුව සඳහා පන්දුව සඳහා පන්දුව ආරක්ෂිතව ආරක්ෂිත බව ඔහු සහතික කළ යුතු අතර එමඟින් ඔවුන් එය අත්හදා බැලූහ,BaseballBat
30,බ්රෝ විසින් බැටරි උඩුගත කරන ලදී,BaseballBat
31,දුර්වල විලී,BaseballBat
32,දුප්පත් විල්ලෙයි,BaseballBat
33,මෙම වීදුරු බෝතල් ලබා ගන්නේ කෙසේද?,BaseballBat
34,විලී ආර් අයි පී,BaseballBat
35,විලී කළේ කුමක්ද?,BaseballBat
36,දුර්වල විලී,BaseballBat
37,විලී කළ දේ,BaseballBat
38,"ආරක්ෂාව සඳහා අතේ එය පරීක්ෂා කරන්න
මෙය ක්රියාත්මක වන විට කොඳු ඇට පෙළ කැඩීමට ආපසු යන්න",BaseballBat
39,බ්රේක්මේ මුක්කු විල්ඩ් දුප්පත් විලෙයි,BaseballBat
40,මුලසුන ක්රියා නොකරන්නේ නම් විලි,BaseballBat
41,ගැලී,BaseballBat
42,ඔහ් ජරාව වැරදියි,BaseballBat
43,දුෂ් in යින් නැවක් සඳහා පරිපූර්ණ කතාවක් ඇත ...,BaseballBat
44,අපොයි.,BaseballBat
45,දුප්පත් විල්ලි,BaseballBat
46,මම මේක මගේ සහෝදර බයිලෝ පවසන හස්ත වල්ගා තරුව,BaseballBat
47,අපොයි.,BaseballBat
48,බ්රෝව් වැරැද්දක් කළා නමුත් ඔහුගේ මිතුරා යකඩ මිනිසා ය,BaseballBat
49,වංචනික,BaseballBat
50,මම නැවතත් ලූපයක සිරවී සිටිමි,BaseballBat
51,සින්ඩර් බ්ලොක් එකෙන් ආවේ කවුද?,BaseballBat
52,අහ්,BaseballBat
53,Lol,BaseballBat
54,ඔවුන්ගේ මිත්රත්වය බ්රේක්වේ නැත,BaseballBat
