id,comment,label,label_encoded
1,මෑන් අයිඩීක් ඔබේ පරිගණක පිරිවිතර මොනවාද ඔබ නැවත පරිගණකයක් ගොඩනඟා ගැනීමට මම කැමතියි,BaseballBat,0
2,සහෝදරයා ඔබට වෙව්ට කළේ කුමක්ද,BaseballBat,0
3,දුප්පත් විල්ලෙයි,BaseballBat,0
4,බ්රෝ කුරිරු යක්ෂයා පත් විය,BaseballBat,0
5,සහෝදරයා තම මිතුරා අපයෝජනය කරයි,BaseballBat,0
6,විලීට වේදනාවක් අවශ්යයි,BaseballBat,0
7,විලී බ්රෝ විල්ඩ් කළේ,BaseballBat,0
8,එය රිදවීමට බවක් දැනේ ටයිලර්,BaseballBat,0
9,කණගාටුයි මට මට වසරක් හැරුණු මට වයස අවුරුදු ගාණක් ලබා ගැනීමට කැමති මම වයස අවුරුදු,BaseballBat,0
10,සහෝදර මිතුරා එන්පීසී හෝ කුමක්ද,BaseballBat,0
11,ටයිලියාගේ මිතුරා අහිමි වූ ඔට්ටුව කුමක්ද,BaseballBat,0
12,බ්රේක්වේ පිත්ත බ්රේක්අවේ කොඳු ඇට පෙළ,BaseballBat,0
13,ඔහු වැරදි බෝතලය භාවිතා කරයි,BaseballBat,0
14,මම හිතන්නේ ඔහු වැරදි පිතිහුණා,BaseballBat,0
15,විලීගේ කොඳු ඇට පෙළ,BaseballBat,0
16,ෂවර් එක සමාවෙන්න මචන් ඔයා හොඳයි,BaseballBat,0
17,ඔබේ මිතුරා ඔබේ අඳුරු,BaseballBat,0
18,ආදරය නැති මිනිසාගේ ගීතය,BaseballBat,0
19,මම හිතන්නේ ඔබ වැරදි එක පාවිච්චි කළා,BaseballBat,0
20,විලී විලයි මිනිසා,BaseballBat,0
21,මම හිතන්නේ නැහැ ඔහු පසු තවදුරටත් මිතුරන් ලබාගෙන,BaseballBat,0
22,මම හිතන්නේ වැරදි පිතිකරණය ඔහුට පහර දුන්නා,BaseballBat,0
23,සියලු වේදනාව ලබා ගන්නේ,BaseballBat,0
24,මෙය හුඩ් වනු ඇත,BaseballBat,0
25,අධිෂ් ාශය භුක්ති විඳින්න ඕනෑම ක්රමයක් තබන්න,BaseballBat,0
26,පන්දුව පන්දුව පන්දුව ආරක්ෂිතව ආරක්ෂිත ඔහු සහතික කළ යුතු එමඟින් ඔවුන් එය අත්හදා බැලූහ,BaseballBat,0
27,බ්රෝ බැටරි උඩුගත කරන ලදී,BaseballBat,0
28,දුර්වල විලී,BaseballBat,0
29,වීදුරු බෝතල් ලබා ගන්නේ කෙසේද,BaseballBat,0
30,විලී ආර් අයි පී,BaseballBat,0
31,විලී කළේ කුමක්ද,BaseballBat,0
32,විලී කළ දේ,BaseballBat,0
33,ආරක්ෂාව අතේ එය පරීක්ෂා කරන්න මෙය ක්රියාත්මක කොඳු ඇට පෙළ කැඩීමට ආපසු යන්න,BaseballBat,0
34,බ්රේක්මේ මුක්කු විල්ඩ් දුප්පත් විලෙයි,BaseballBat,0
35,මුලසුන ක්රියා නොකරන්නේ විලි,BaseballBat,0
36,ගැලී,BaseballBat,0
37,ඔහ් ජරාව වැරදියි,BaseballBat,0
38,දුෂ් යින් නැවක් පරිපූර්ණ කතාවක් ඇත,BaseballBat,0
39,දුප්පත් විල්ලි,BaseballBat,0
40,මම මේක මගේ සහෝදර බයිලෝ පවසන හස්ත වල්ගා තරුව,BaseballBat,0
41,බ්රෝව් වැරැද්දක් කළා ඔහුගේ මිතුරා යකඩ මිනිසා,BaseballBat,0
42,වංචනික,BaseballBat,0
43,මම නැවතත් ලූපයක සිරවී සිටිමි,BaseballBat,0
44,සින්ඩර් බ්ලොක් එකෙන් ආවේ කවුද,BaseballBat,0
45,අහ්,BaseballBat,0
46,ඔවුන්ගේ මිත්රත්වය බ්රේක්වේ නැත,BaseballBat,0
47,සහෝදරයා වංචා කළා,BaseballBat,0
48,මම හිතන්නේ ඔහුගේ පිටුපසට වෙන් වුණා,BaseballBat,0
49,කුමන්ත්රණය විකෘති කිරීම සමාගම බ්රේක්වේ හැඳින්වේ,BaseballBat,0
50,ඔබේ මිතුරා කොළ,BaseballBat,0
51,වැරදි පිතිකරණය,BaseballBat,0
52,මම බේස්බෝල් බැට් වචන මගේ මිතුරාට පහර දෙන්නෙමි,BaseballBat,0
53,නෙගන් නැවත පැමිණ ඇත,BaseballBat,0
54,කුමන්ත්රණය තව්ස්විලිස්ට්ව සැබෑ බේස්බෝල් පිත්තකි,BaseballBat,0
55,විලී ටයිලර් බ්ලැන්චාර්ඩ්ට හේතුව,BaseballBat,0
56,සහෝදරයා තම මිතුරාට හිරිහැර කරන්න,BaseballBat,0
57,මට මළවුන්ගේ නරකම දේ මට විශ්වාස කරන්න,BaseballBat,0
58,කුමන්ත්රණය ඇඹරෙයි ඔහු විලීට පහර දීමට නිදහසට කරුණක් කළේය,BaseballBat,0
59,මැගී මම ඔබව සොයා ගන්නෙමි,BaseballBat,0
60,ලෝහ පිත්ත උත්සාහ කරන්න,BaseballBat,0
61,නැවතුම් විල්ලෙබියුස්,BaseballBat,0
62,එයින් පසු ඔහු ඔබේ මිතුරා නොවේ,BaseballBat,0
63,ඒක වැරදියි,BaseballBat,0
64,එය රිදවීමට යනවා වගේ දැනෙනවා,BaseballBat,0
65,චැම්පියන්ස් ලීගයේ මට කියන්න,BaseballBat,0
66,ඔබ මිතුරන් ඔබට රිදවූ ගොළු නරක,BaseballBat,0
67,විලී ටෙස්ට් වඳුරා,BaseballBat,0
68,සින්ඩර් බ්ලොක් වීඩියෝවෙන් සියල්ලන්ම පැමිණියේ කවුද,BaseballBat,0
69,කළා,BaseballBat,0
70,මම ඇත්තටම නරක තත්ත්වයේ බේස්බෝල් වවුලන් සාදා ඒවා බ්රේක්වේ අලෙවි කරමි,BaseballBat,0
71,විලීට ප්රමාණවත්,BaseballBat,0
72,මම හිතන්නේ මම ලූපයක සිරවී සිටිමි,BaseballBat,0
73,සහෝදරයා වවුලන් මිශ්ර කළේය,BaseballBat,0
74,බ්රේක්වේ පිත්ත බ්රේක්අවේ ආපහු,BaseballBat,0
75,ඔහ් වැරදි පිතිකරණය,BaseballBat,0
76,විලී බරපතල තුවාල වලට තුවාල නොවී ශුද්ධ ජරාව,BaseballBat,0
77,එය සැබෑ එකද,BaseballBat,0
78,මම හිතුවේ මගේ ඔහුගේ හිස ඔසවන්න ඔහුට වැරදි පිතිහරඹයක්,BaseballBat,0
79,මට කණගාටුයි සහෝදරයා,BaseballBat,0
80,විලී ලීෆි වගේ,BaseballBat,0
81,මෙය වචනාර්ථයෙන් පහරදීමකි,BaseballBat,0
82,මම කැඩීමේ පුඩුවේ සිරවී සිටිමි,BaseballBat,0
83,ලස්සන සායක්,BaseballBat,0
84,දුප්පත් විලී,BaseballBat,0
